               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11151,             0.11763,            0.037967,          0.00012012,            0.043011,          7.2471e-05,           1.213e-05,             0.10454,             0.10421,            0.037134,              0.0982,              0.0002,              0.0002
                   1,             0.10249,             0.12382,            0.037473,           0.0034472,             0.65432,           0.0054367,           0.0017736,            0.092538,             0.11481,            0.037051,            0.095495,          0.00049505,          0.00049505
                   2,            0.093719,             0.11653,            0.037482,           0.0009009,             0.32258,           0.0020056,          0.00060085,            0.080431,              0.1162,            0.036955,            0.092784,          0.00078416,          0.00078416
                   3,            0.083422,             0.13352,             0.03628,           0.0009009,             0.32258,           0.0024964,          0.00070752,            0.070929,             0.11893,            0.036845,            0.090067,           0.0010673,           0.0010673
                   4,            0.081528,             0.14627,            0.035735,           0.0009009,             0.32258,          0.00089771,          0.00031591,            0.066837,             0.12572,            0.036763,            0.087345,           0.0013446,           0.0013446
                   5,               0.077,             0.14215,            0.034332,           0.0009009,             0.32258,           0.0014105,          0.00044634,            0.065322,             0.12843,            0.036681,            0.084616,           0.0016158,           0.0016158
                   6,            0.075783,             0.12301,            0.033676,          0.00095841,             0.32258,           0.0013976,          0.00046529,             0.06496,             0.12893,            0.036612,            0.081881,           0.0018812,           0.0018812
                   7,            0.077285,             0.12996,            0.032504,          0.00088563,             0.31183,           0.0015238,           0.0005446,            0.065783,             0.12886,            0.036543,            0.079141,           0.0021406,           0.0021406
                   8,            0.072672,             0.12203,            0.030046,          0.00086605,             0.29032,            0.001055,          0.00039642,            0.065221,             0.12213,            0.036488,            0.076394,           0.0023941,           0.0023941
                   9,            0.069497,             0.10963,            0.028177,           0.0012728,             0.29032,           0.0012279,           0.0004404,            0.064304,              0.1208,            0.036433,            0.073642,           0.0026416,           0.0026416
                  10,            0.071027,             0.10665,             0.02614,          0.00057706,             0.15942,          0.00043162,          0.00014375,            0.064095,             0.12314,            0.036378,            0.070883,           0.0028832,           0.0028832
                  11,            0.070391,             0.10707,            0.024736,          0.00046219,             0.14493,          0.00033765,          0.00013264,            0.063435,             0.12401,            0.036337,            0.068119,           0.0031189,           0.0031189
                  12,            0.071358,            0.092253,            0.022044,          0.00041241,             0.11594,          0.00027892,          9.8459e-05,            0.063705,             0.12589,            0.036282,            0.065349,           0.0033486,           0.0033486
                  13,            0.069712,             0.10074,            0.020624,          0.00053214,             0.14493,          0.00039408,          0.00014213,            0.063746,             0.12811,            0.036172,            0.062572,           0.0035723,           0.0035723
                  14,            0.070106,            0.093377,            0.019866,          0.00062084,             0.15942,           0.0004968,          0.00018185,            0.063554,              0.1271,             0.03609,             0.05979,           0.0037902,           0.0037902
                  15,            0.068074,             0.08226,            0.018275,          0.00042571,             0.11594,          0.00028932,          0.00011424,            0.063689,             0.12877,            0.035994,            0.057002,           0.0040021,           0.0040021
